


4107458
vz   96 	 0.002337212 %
fz   103 	 0.0025076338 %
zf   107 	 0.0026050175 %
qz   108 	 0.0026293634 %
ql   110 	 0.0026780553 %
lq   116 	 0.0028241312 %
wz   117 	 0.002848477 %
jz   121 	 0.002945861 %
hz   124 	 0.003018899 %
zv   126 	 0.0030675908 %
qf   136 	 0.0033110504 %
zp   138 	 0.0033597422 %
lx   144 	 0.0035058178 %
zj   147 	 0.003578856 %
zg   148 	 0.0036032018 %
zq   148 	 0.0036032018 %
kz   151 	 0.0036762399 %
xq   151 	 0.0036762399 %
qv   155 	 0.0037736234 %
pz   157 	 0.0038223155 %
qx   157 	 0.0038223155 %
qj   163 	 0.003968391 %
xv   163 	 0.003968391 %
gx   165 	 0.004017083 %
wx   168 	 0.004090121 %
px   169 	 0.004114467 %
qg   170 	 0.004138813 %
vq   172 	 0.0041875048 %
wv   172 	 0.0041875048 %
gq   174 	 0.0042361966 %
qo   175 	 0.0042605423 %
qc   176 	 0.0042848885 %
qm   176 	 0.0042848885 %
vx   176 	 0.0042848885 %
xh   177 	 0.0043092347 %
gz   179 	 0.0043579265 %
mq   179 	 0.0043579265 %
qk   179 	 0.0043579265 %
pq   180 	 0.0043822727 %
bq   182 	 0.004430964 %
kq   183 	 0.0044553103 %
zt   183 	 0.0044553103 %
qn   184 	 0.004479656 %
zd   184 	 0.004479656 %
zc   185 	 0.004504002 %
bx   186 	 0.0045283483 %
fx   186 	 0.0045283483 %
qs   188 	 0.00457704 %
jq   189 	 0.0046013864 %
kx   190 	 0.004625732 %
qt   191 	 0.004650078 %
fq   192 	 0.004674424 %
vf   192 	 0.004674424 %
zb   192 	 0.004674424 %
bz   193 	 0.0046987697 %
qy   193 	 0.0046987697 %
xk   194 	 0.004723116 %
jx   198 	 0.0048205 %
xj   201 	 0.0048935376 %
cz   203 	 0.0049422295 %
hq   205 	 0.0049909214 %
uq   206 	 0.0050152675 %
vw   208 	 0.0050639594 %
zk   208 	 0.0050639594 %
qh   209 	 0.005088305 %
tq   209 	 0.005088305 %
kv   210 	 0.0051126513 %
qd   211 	 0.005136997 %
dq   212 	 0.005161343 %
pv   212 	 0.005161343 %
